pk_tiempo,vch_centro,SEDE,RFFProcesado,RFFProcesadoPropios,RFFProcesadoTerceros,CPOObtenido,CPOObtenidoPropios,CPOObtenidoTerceros,FECHA,PLANTACION
20190119,3006,NH,223.08,40.08,183.0,52.56,7.65933,44.90067,2019-01-19,Nuevo Horizonte
20190119,3702,SH,611.1,611.1,0.0,157.359,154.20627,3.15273,2019-01-19,Shanuzi
20190120,3002,PW,683.52,683.52,0.0,169.3,151.42031,17.87969,2019-01-20,Palmawasi
20190120,3702,SH,688.7,688.7,0.0,159.852,156.64932,3.20268,2019-01-20,Shanuzi
20190121,3002,PW,1041.87,973.5,68.37,257.7,230.48443,27.21557,2019-01-21,Palmawasi
20190121,3006,NH,141.6,0.0,141.6,32.98,4.80603,28.17397,2019-01-21,Nuevo Horizonte
20190121,3702,SH,206.0,198.66,7.34,51.847,50.80823,1.03877,2019-01-21,Shanuzi
20190122,3002,PW,1178.61,1096.34,82.27,291.13,260.3839,30.7461,2019-01-22,Palmawasi
20190122,3006,NH,123.9,3.65,120.25,28.68,4.17941,24.50059,2019-01-22,Nuevo Horizonte
20190122,3702,SH,478.4,461.81,16.59,127.941,125.37767,2.56333,2019-01-22,Shanuzi
20190123,3002,PW,1099.17,1013.89,85.28,271.9,243.18478,28.71522,2019-01-23,Palmawasi
20190123,3006,NH,212.16,39.8,172.36,49.04,7.14638,41.89362,2019-01-23,Nuevo Horizonte
20190123,3702,SH,795.0,777.1,17.9,208.883,204.69797,4.18503,2019-01-23,Shanuzi
20190124,3002,PW,1117.97,1006.39,111.58,275.0,245.95739,29.04261,2019-01-24,Palmawasi
20190124,3006,NH,145.8,40.2,105.6,33.87,4.93572,28.93428,2019-01-24,Nuevo Horizonte
20190124,3702,SH,379.6,368.84,10.76,97.041,95.09676,1.94424,2019-01-24,Shanuzi
20190125,3002,PW,1236.48,1085.11,151.37,307.0,274.57788,32.42212,2019-01-25,Palmawasi
20190125,3006,NH,174.0,31.81,142.19,40.93,5.96454,34.96546,2019-01-25,Nuevo Horizonte
20190125,3702,SH,1037.9,1037.9,0.0,241.082,236.25185,4.83015,2019-01-25,Shanuzi
20190126,3002,PW,1110.21,992.2,118.01,290.0,259.37324,30.62676,2019-01-26,Palmawasi
20190126,3006,NH,174.0,0.0,174.0,40.11,5.84505,34.26495,2019-01-26,Nuevo Horizonte
20190126,3702,SH,1009.8,1001.02,8.78,256.357,251.22082,5.13618,2019-01-26,Shanuzi
20190127,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-27,Palmawasi
20190127,3006,NH,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-27,Nuevo Horizonte
20190127,3702,SH,655.0,655.0,0.0,162.103,158.85522,3.24778,2019-01-27,Shanuzi
20190128,3002,PW,923.25,884.68,38.57,228.0,203.92103,24.07897,2019-01-28,Palmawasi
20190128,3006,NH,61.82,0.0,61.82,14.24,2.07513,12.16487,2019-01-28,Nuevo Horizonte
20190128,3702,SH,440.0,424.74,15.26,111.055,108.82998,2.22502,2019-01-28,Shanuzi
20190129,3002,PW,982.51,868.41,114.1,240.0,214.65372,25.34628,2019-01-29,Palmawasi
20190129,3006,NH,178.8,0.0,178.8,41.56,6.05635,35.50365,2019-01-29,Nuevo Horizonte
20190129,3702,SH,963.05,942.06,20.99,247.535,242.57557,4.95943,2019-01-29,Shanuzi
20190130,3002,PW,792.17,678.59,113.58,196.5,175.74773,20.75227,2019-01-30,Palmawasi
20190130,3006,NH,141.6,26.68,114.92,32.58,4.74774,27.83226,2019-01-30,Nuevo Horizonte
20190130,3702,SH,704.0,696.68,7.32,180.425,176.81013,3.61487,2019-01-30,Shanuzi
20190131,3002,PW,1046.92,933.46,113.46,221.0,197.6603,23.3397,2019-01-31,Palmawasi
20190131,3006,NH,163.8,0.0,163.8,37.82,5.51134,32.30866,2019-01-31,Nuevo Horizonte
20190131,3702,SH,528.0,510.67,17.33,137.338,134.58639,2.75161,2019-01-31,Shanuzi
20190201,3002,PW,1081.24,950.56,130.68,265.32,232.98065,32.33935,2019-02-01,Palmawasi
20190201,3006,NH,82.5,37.54,44.96,19.03,2.49877,16.53123,2019-02-01,Nuevo Horizonte
20190201,3702,SH,635.25,614.49,20.76,168.95,167.71795,1.23205,2019-02-01,Shanuzi
20190202,3002,PW,939.82,827.34,112.48,232.24,203.9327,28.3073,2019-02-02,Palmawasi
20190202,3006,NH,265.5,37.17,228.33,62.02,8.14364,53.87636,2019-02-02,Nuevo Horizonte
20190202,3702,SH,700.7,694.63,6.07,169.39,168.15474,1.23526,2019-02-02,Shanuzi
20190203,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-03,Palmawasi
20190203,3702,SH,156.8,156.8,0.0,41.75,41.44554,0.30446,2019-02-03,Shanuzi
20190204,3002,PW,800.64,738.89,61.75,198.8,174.56864,24.23136,2019-02-04,Palmawasi
20190204,3006,NH,175.199,0.0,175.199,40.59,5.32974,35.26026,2019-02-04,Nuevo Horizonte
20190205,3002,PW,912.61,803.41,109.2,226.85,199.19968,27.65032,2019-02-05,Palmawasi
20190205,3006,NH,139.2,0.0,139.2,33.74,4.43029,29.30971,2019-02-05,Nuevo Horizonte
20190205,3702,SH,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-05,Shanuzi
20190206,3002,PW,1008.24,955.52,52.72,250.15,219.65969,30.49031,2019-02-06,Palmawasi
