AÑO,MES,FECHA,PESO NETO T.M.,% VERDES,% MADUROS,% SMADUROS,% ESCOBAJO,TOTAL,FRUTO SUELTO K.G.,% IMPUREZAS,% PEDUNCULO,% MALFORMADO,PLANTACION
2024,Enero,2024-01-02,119.1,0.001538461538461538,0.8992307692307693,0.09923076923076923,0,1,0.0,0.0,0.003846153846153846,0.005384615384615384,Palmawasi
2024,Enero,2024-01-03,127.62,0.002913752913752914,0.9013209013209014,0.09362859362859363,0.002136752136752137,1,0.0,0.0,0.003496503496503497,0.008352758352758352,Palmawasi
2024,Enero,2024-01-04,199.01,0.005460750853242321,0.9129692832764505,0.08054607508532423,0.001023890784982935,1,0.0,0.0,0.005460750853242321,0.01023890784982935,Palmawasi
2024,Enero,2024-01-05,155.34,0.004017857142857142,0.9,0.09486607142857142,0.001116071428571429,1,0.0,0.0,0.003348214285714286,0.0078125,Palmawasi
2024,Enero,2024-01-06,204.82,0.004518072289156626,0.9043674698795181,0.08990963855421687,0.001204819277108434,1,0.0,0.0,0.004518072289156626,0.008433734939759036,Palmawasi
2024,Enero,2024-01-08,146.78,0.004150390625,0.9030761718750001,0.09130859375,0.00146484375,1,0.0,0.0,0.00439453125,0.008056640625,Palmawasi
2024,Enero,2024-01-09,218.92,0.005319148936170213,0.898936170212766,0.09319148936170213,0.002553191489361702,1,0.0,0.0,0.005957446808510638,0.00978723404255319,Palmawasi
2024,Enero,2024-01-10,262.37,0.003570408454727221,0.905169951442445,0.08883176235361326,0.00242787774921451,1,0.0,0.0,0.002570694087403599,0.01242502142245073,Palmawasi
2024,Enero,2024-01-11,178.21,0.004017072558373086,0.9073562641225207,0.08686919407481798,0.001757469244288225,1,0.0,0.0,0.002761737383881496,0.01205121767511926,Palmawasi
2024,Enero,2024-01-12,175.2,0.004494007989347537,0.9067909454061251,0.08655126498002663,0.002163781624500666,1,0.0,0.0,0.003661784287616511,0.009986684420772303,Palmawasi
2024,Enero,2024-01-13,165.65,0.004545454545454545,0.9106060606060606,0.08333333333333333,0.001515151515151515,1,0.0,0.0,0.00367965367965368,0.01060606060606061,Palmawasi
2024,Enero,2024-01-14,15.86,-,-,-,-,-,0.0,0.0,-,-,Palmawasi
2024,Enero,2024-01-15,127.0,0.01246819338422392,0.9175572519083969,0.06895674300254453,0.001017811704834606,1,0.0,0.0,0.003816793893129771,0.01424936386768448,Palmawasi
2024,Enero,2024-01-16,163.35,0.006766642282370154,0.9173372348207754,0.07498171177761521,0.0009144111192392099,1,0.0,0.0,0.00365764447695684,0.009326993416239942,Palmawasi
2024,Enero,2024-01-17,142.96,0.006766917293233083,0.91203007518797,0.07969924812030076,0.001503759398496241,1,0.0,0.0,0.003258145363408521,0.01177944862155388,Palmawasi
2024,Enero,2024-01-18,99.63,0.005719313682358117,0.9128904531456226,0.07941047074351078,0.001979762428508579,1,0.0,0.0,0.003959524857017158,0.01649802023757149,Palmawasi
2024,Enero,2024-01-19,163.72,0.004782608695652174,0.8993478260869565,0.09456521739130434,0.001304347826086957,1,0.0,0.0,0.004130434782608695,0.01782608695652174,Palmawasi
2024,Enero,2024-01-20,117.0,0.00423728813559322,0.9031073446327682,0.08954802259887006,0.003107344632768362,1,0.0,0.0,0.005649717514124294,0.0096045197740113,Palmawasi
2024,Enero,2024-01-22,91.78,0.003638844666818285,0.9037980441209916,0.09074368887878098,0.001819422333409142,1,0.0,0.0,0.003638844666818285,0.00977939504207414,Palmawasi
2024,Enero,2024-01-23,166.72,0.00467032967032967,0.9087912087912088,0.08571428571428572,0.0008241758241758242,1,0.0,0.0,0.003571428571428571,0.01071428571428571,Palmawasi
2024,Enero,2024-01-24,269.35,0.005579068872643324,0.9103501346671797,0.08272412466333205,0.00134667179684494,1,0.0,0.0,0.004040015390534821,0.01000384763370527,Palmawasi
2024,Enero,2024-01-25,203.84,0.004983748645720477,0.905742145178765,0.0875406283856988,0.001733477789815818,1,0.0,0.0,0.003033586132177681,0.01191765980498375,Palmawasi
2024,Enero,2024-01-26,146.05,0.004708520179372198,0.9065022421524663,0.08609865470852018,0.002690582959641256,1,0.0,0.0,0.003811659192825112,0.01031390134529148,Palmawasi
