FECHA,PLANTACION,VERDES,MADUROS,SMADUROS,PEDUNCULO,ESCOBAJO,MALFORMADOA,MALFORMADOB,Peso,Racimos
2022-01-05,Palmawasi,,,,,,,,1049620.1765400001,50415.0
2022-01-05,Shanuzi,,,,,,,,1017149.03604,74650.0
2022-01-06,Nuevo Horizonte,,,,,,,,33980.54877,2527.0
2022-01-06,Palmawasi,16.0,3422.0,199.0,0.0,0.0,82.0,5.0,753251.05966,48293.0
2022-01-06,Shanuzi,,,,,,,,1095005.54571,74774.0
2022-01-07,Nuevo Horizonte,,,,,,,,41782.1852,3216.0
2022-01-07,Palmawasi,12.0,3568.0,590.0,5.0,0.0,80.0,9.0,942643.16976,49121.0
2022-01-07,Shanuzi,,,,,,,,860857.3997,60555.0
2022-01-08,Nuevo Horizonte,,,,,,,,33389.41584,2415.0
2022-01-08,Palmawasi,,,,,,,,796553.18927,45170.0
2022-01-08,Shanuzi,,,,,,,,55070.27505,3578.0
2022-01-09,Palmawasi,,,,,,,,59139.91203000001,4929.0
2022-01-10,Nuevo Horizonte,,,,,,,,27991.34228,2203.0
2022-01-10,Palmawasi,9.0,3492.0,166.0,0.0,0.0,62.0,13.0,715243.8843800001,41349.0
2022-01-10,Shanuzi,,,,,,,,248820.67193,17002.0
2022-01-11,Nuevo Horizonte,,,,,,,,34805.8112,2705.0
2022-01-11,Palmawasi,,,,,,,,817120.03977,42110.0
2022-01-11,Shanuzi,,,,,,,,780147.3413399999,55133.0
2022-01-12,Nuevo Horizonte,,,,,,,,29384.01076,2531.0
2022-01-12,Palmawasi,,,,,,,,951253.80453,47829.0
2022-01-12,Shanuzi,,,,,,,,1008129.66506,74717.0
2022-01-13,Nuevo Horizonte,,,,,,,,30685.10029,2382.0
2022-01-13,Palmawasi,36.0,5792.0,627.0,5.0,0.0,143.0,12.0,1162014.8694799999,58656.0
2022-01-13,Shanuzi,,,,,,,,1108654.9736,75035.0
2022-01-14,Nuevo Horizonte,,,,,,,,33039.13478,2528.0
2022-01-14,Palmawasi,18.0,5267.0,448.0,23.0,0.0,109.0,14.0,1175351.50152,57279.0
2022-01-14,Shanuzi,,,,,,,,917976.94808,63752.0
2022-01-15,Nuevo Horizonte,,,,,,,,28804.68872,2204.0
2022-01-15,Palmawasi,26.0,2782.0,324.0,9.0,0.0,69.0,11.0,1083308.83808,52986.0
2022-01-15,Shanuzi,,,,,,,,975329.52763,64573.0
2022-01-16,Palmawasi,,,,,,,,302526.23587,13732.0
2022-01-17,Nuevo Horizonte,,,,,,,,27000.50697,2068.0
2022-01-17,Palmawasi,34.0,5032.0,433.0,16.0,0.0,118.0,27.0,885078.49794,41839.0
2022-01-17,Shanuzi,,,,,,,,1020002.90419,70186.0
2022-01-18,Nuevo Horizonte,,,,,,,,31477.3024,2360.0
2022-01-18,Palmawasi,70.0,6613.0,387.0,11.0,0.0,160.0,19.0,1036105.75506,51391.0
2022-01-18,Shanuzi,,,,,,,,1159492.49241,81568.0
2022-01-19,Nuevo Horizonte,,,,,,,,25315.45136,1879.0
2022-01-19,Palmawasi,24.0,6398.0,428.0,5.0,0.0,126.0,28.0,1026070.82081,51600.0
2022-01-19,Shanuzi,,,,,,,,964474.677,66364.0
2022-01-20,Nuevo Horizonte,,,,,,,,25207.66866,1871.0
2022-01-20,Palmawasi,48.0,3931.0,289.0,6.0,0.0,126.0,13.0,1151905.45016,56868.0
2022-01-20,Shanuzi,,,,,,,,1297899.80251,88216.0
2022-01-21,Nuevo Horizonte,,,,,,,,21449.43025,1620.0
2022-01-21,Palmawasi,27.0,6438.0,353.0,1.0,0.0,107.0,27.0,1191975.36319,58259.0
2022-01-21,Shanuzi,,,,,,,,1029366.38478,70664.0
2022-01-22,Nuevo Horizonte,,,,,,,,9143.94985,691.0
2022-01-22,Palmawasi,24.0,4847.0,292.0,9.0,0.0,96.0,16.0,1069897.55671,50919.0
2022-01-22,Shanuzi,,,,,,,,1049468.1649,71901.0
2022-01-23,Palmawasi,,,,,,,,222520.82844,10563.0
2022-01-23,Shanuzi,,,,,,,,12564.95365,894.0
2022-01-24,Nuevo Horizonte,,,,,,,,19473.23379,1472.0
2022-01-24,Palmawasi,,,,,,,,554511.29701,28014.0
2022-01-24,Shanuzi,,,,,,,,797023.60718,54684.0
2022-01-25,Nuevo Horizonte,,,,,,,,22291.03186,1685.0
2022-01-25,Palmawasi,9.0,5703.0,588.0,0.0,0.0,95.0,26.0,1011872.24304,49339.0
2022-01-25,Shanuzi,,,,,,,,1064807.80303,72585.0
2022-01-26,Nuevo Horizonte,,,,,,,,22233.6887,1684.0
2022-01-26,Palmawasi,23.0,4201.0,463.0,1.0,0.0,122.0,25.0,1073839.47138,51779.0
2022-01-26,Shanuzi,,,,,,,,881628.78697,62388.0
2022-01-27,Nuevo Horizonte,,,,,,,,19007.32296,1434.0
2022-01-27,Palmawasi,,,,,,,,1069098.81336,51007.0
2022-01-27,Shanuzi,,,,,,,,781579.5412600001,54778.0
2022-01-28,Nuevo Horizonte,,,,,,,,11229.79036,869.0
2022-01-28,Palmawasi,24.0,5182.0,394.0,0.0,0.0,95.0,20.0,984304.5972900001,47438.0
