AÑO;MES;DIA;RFF PROCESADO;TM CONDENSADO;TM ACEITE CONDENSADO;% PERDIDA ACEITE CONDENSADO;TM ESCOBAJO SIN PICAR;TM ACEITE ESCOBAJO SIN PICAR;% PERDIDA ACEITE ESCOBAJO SIN PICAR;TM ESCOBAJO PICADO;TM ACEITE ESCOBAJO PICADO;% PERDIDA ACEITE ESCOBAJO PICADO;% PERDIDA TOTAL ACEITE ESCOBAJO;% RACIMOS DUROS;% RACIMOS MAL DESFRUTADO ANORMAL;% RACIMO MAL DESFRUTADO;FACTOR;TM ACEITE RACIMO MAL DESFRUTADO;% EN PESO DE FRUTO ADHERIDO;% PERDIDA ACEITE FRUTO ADHERIDO NORMAL;TM FIBRA;TM ACEITE FIBRA;% PERDIDA ACEITE FIBRA;M3 AGUA TD;TM ACEITE AGUA TD;% PERDIDA ACEITE AGUA TD;TM SOLIDOS TD;TM ACEITE SOLIDO TD;% PERDIDA ACEITE SOLIDO TD;TM ARENA;TM ACEITE EN ARENA;% PERDIDA ACEITE EN ARENA;TM NUEZ;TM ACEITE CASCARA;% PERDIDA ACEITE EN CASCARA;% PERDIDA TOTAL;PLANTACION;FECHA
2024;Febrero;27/02/2024 00:00;185.52033;11.68778079;0.104525;0.000563415;32.46605775;3.038265;0.016376992;0;0;0;0.016376992;0.051666;0.028333;0.055;0.669331861;0.1265;0.000681;0.000681866;31.5384561;1.705639;0.009193812;46.3800825;0.361167;0.001946779;12.05882145;0.382475;0.002061634;0.389592693;0.042429;0.000228703;12.9864231;0.122556;0.000660607;0.031713807;Nuevo Horizonte;27/02/2024
2024;Febrero;28/02/2024 00:00;237.75308;14.97844404;0.076057;0.000319899;41.606789;2.032575;0.008549101;0;0;0;0.008549101;0.048;0.012;0.062;0.797007032;0.1828;0.000768;0.000768865;40.4180236;1.068006;0.004492081;59.43827;0.525259;0.002209263;15.4539502;0.472228;0.001986212;0.499281468;0.045481;0.000191295;16.6427156;0.099721;0.000419431;0.018936146;Nuevo Horizonte;28/02/2024
2024;Febrero;29/02/2024 00:00;254.53113;16.03546119;0.026175;0.000102836;44.54294775;2.329262;0.009151187;0;0;0;0.009151187;0.043333;0.021666;0.05;0.770476433;0.1578;0.000619;0.000619963;43.2702921;1.360365;0.005344592;63.6327825;0.624594;0.0024539;16.54452345;0.467174;0.00183543;0.534515373;0.043195;0.000169704;17.8171791;0.150958;0.000593083;0.020270695;Nuevo Horizonte;29/02/2024
2024;Marzo;1/03/2024 00:00;230.02466;14.49155358;0.047711;0.000207417;40.2543155;2.42349;0.010535783;0;0;0;0.010535783;0.043333;0.02;0.06;0.696219279;0.1712;0.000744;0.000744268;39.1041922;1.360133;0.005912988;57.506165;0.686699;0.002985328;14.9516029;0.46024;0.002000829;0.483051786;0.031105;0.000135225;16.1017262;0.077897;0.000338646;0.022860484;Nuevo Horizonte;1/03/2024
2024;Marzo;2/03/2024 00:00;258.48523;16.28456949;0.063069;0.000243995;45.23491525;2.965355;0.011472048;0;0;0;0.011472048;0.043333;0.013333;0.063333;0.782356137;0.203;0.000785;0.000785345;43.9424891;1.302359;0.005038427;64.6213075;0.578112;0.002236538;16.80153995;0.670146;0.002592589;0.542818983;0.037925;0.00014672;18.0939661;0.083476;0.000322943;0.022838605;Nuevo Horizonte;2/03/2024
2024;Marzo;3/03/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;3/03/2024
2024;Marzo;4/03/2024 00:00;193.35038;12.18107394;0.072067;0.000372727;33.8363165;0.957382;0.004951539;0;0;0;0.004951539;0.042;0.008;0.062;0.567257968;0.1487;0.000769;0.00076907;32.8695646;1.50029;0.007759437;48.337595;0.280127;0.001448805;12.5677747;0.379598;0.001963265;0.406035798;0.027391;0.000141665;13.5345266;0.180726;0.000934707;0.018341216;Nuevo Horizonte;4/03/2024
2024;Marzo;5/03/2024 00:00;228.05279;14.36732577;0.042359;0.000185742;39.90923825;2.372776;0.010404503;0;0;0;0.010404503;0.045;0.021666;0.07;0.716677799;0.1979;0.000867;0.000867782;38.7689743;1.342869;0.005888413;57.0131975;0.305555;0.001339843;14.82343135;0.561217;0.002460908;0.478910859;0.034445;0.00015104;15.9636953;0.11652;0.000510934;0.021809165;Nuevo Horizonte;5/03/2024
2024;Marzo;6/03/2024 00:00;212.79307;13.40596341;0.027511;0.000129285;37.23878725;1.974326;0.00927815;0;0;0;0.00927815;0.042;0.01;0.06;0.624308071;0.1583;0.000743;0.000743915;36.1748219;1.293005;0.006076349;53.1982675;0.575042;0.002702353;13.83154955;0.448371;0.002107075;0.446865447;0.020277;9.53E-05;14.8955149;0.119252;0.000560413;0.021692831;Nuevo Horizonte;6/03/2024
2024;Marzo;7/03/2024 00:00;327.87578;20.65617414;0.099379;0.0003031;57.3782615;2.933435;0.008946788;0;0;0;0.008946788;0.04625;0.02625;0.05625;1.059105848;0.2287;0.000697;0.00069752;55.7388826;1.828942;0.005578155;81.968945;0.882822;0.00269255;21.3119257;0.548607;0.001673216;0.688539138;0.031244;9.53E-05;22.9513046;0.121228;0.000369738;0.020356359;Nuevo Horizonte;7/03/2024
2024;Marzo;8/03/2024 00:00;297.81454;18.76231602;0.194077;0.000651671;52.1175445;2.703957;0.009079332;0;0;0;0.009079332;0.037142;0.017142;0.052857;0.772843924;0.1953;0.000655;0.000655777;50.6284718;1.845376;0.006196393;74.453635;0.454625;0.001526537;19.3579451;0.59349;0.001992817;0.625410534;0.028379;9.53E-05;20.8470178;0.068776;0.000230936;0.020428754;Nuevo Horizonte;8/03/2024
2024;Marzo;9/03/2024 00:00;259.79008;16.36677504;0.123703;0.000476165;45.463264;2.238202;0.008615425;0;0;0;0.008615425;0.045714;0.025714;0.062857;0.829402648;0.2025;0.000779;0.000779475;44.1643136;1.128557;0.004344111;64.94752;0.674662;0.002596951;16.8863552;0.558983;0.002151672;0.545559168;0.024755;9.53E-05;18.1853056;0.110049;0.000423607;0.019482695;Nuevo Horizonte;9/03/2024
2024;Marzo;10/03/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;10/03/2024
2024;Marzo;11/03/2024 00:00;144.66766;9.11406258;0.012596;8.71E-05;25.3168405;0.828973;0.005730189;0;0;0;0.005730189;0.045;0.01;0.0725;0.454644263;0.13;0.000898;0.000898611;24.5935022;0.670457;0.004634464;36.166915;0.173446;0.001198927;9.4033979;0.310322;0.002145068;0.303802086;0.013785;9.53E-05;10.1267362;0.037098;0.000256436;0.015046051;Nuevo Horizonte;11/03/2024
2024;Marzo;12/03/2024 00:00;286.14677;18.02724651;0.097512;0.000340776;50.07568475;2.864329;0.010009999;0;0;0;0.010009999;0.038333;0.015;0.055;0.76633636;0.1952;0.000682;0.000682167;48.6449509;1.342225;0.004690687;71.5366925;1.133162;0.003960073;18.59954005;0.613804;0.002145067;0.600908217;0.116459;0.00040699;20.0302739;0.01629;5.69E-05;0.022292689;Nuevo Horizonte;12/03/2024
2024;Marzo;13/03/2024 00:00;199.90582;12.59406666;0.027864;0.000139386;34.9835185;1.959077;0.0098;0;0;0;0.0098;0.05;0.023333;0.06;0.697989612;0.1487;0.000743;0.00074385;33.9839894;1.026074;0.005132787;49.976455;0.242714;0.001214142;12.9938783;0.428812;0.00214507;0.419802222;0.028343;0.000141782;13.9934074;0.037975;0.000189964;0.019506981;Nuevo Horizonte;13/03/2024
2024;Marzo;14/03/2024 00:00;203.96235;12.84962805;0.04746;0.00023269;35.69341125;2.542142;0.012463781;0;0;0;0.012463781;0.0425;0.0125;0.065;0.605471696;0.1644;0.000806;0.000806031;34.6735995;1.218862;0.005975917;50.9905875;0.646906;0.003171693;13.25755275;0.437513;0.002145067;0.428320935;0.02229;0.000109285;14.2773645;0.178811;0.000876686;0.02578115;Nuevo Horizonte;14/03/2024
2024;Marzo;15/03/2024 00:00;193.77606;12.20789178;0.034217;0.00017658;33.9108105;2.56732;0.013248902;0;0;0;0.013248902;0.0475;0.01;0.0625;0.642831388;0.1502;0.000775;0.000775122;32.9419302;1.495769;0.00771906;48.444015;0.366991;0.001893892;12.5954439;0.415542;0.002144444;0.406929726;0.021177;0.000109286;13.5643242;0.066118;0.000341208;0.026408494;Nuevo Horizonte;15/03/2024
2024;Marzo;16/03/2024 00:00;246.58236;15.53468868;0.106281;0.000431016;43.151913;2.24769;0.009115372;0;0;0;0.009115372;0.043333;0.01;0.061666;0.746356087;0.1886;0.000764;0.000764856;41.9190012;1.27244;0.005160304;61.64559;0.58798;0.002384518;16.0278534;0.491949;0.00199507;0.517822956;0.040732;0.000165186;17.2607652;0.088321;0.000358181;0.020374503;Nuevo Horizonte;16/03/2024
2024;Marzo;17/03/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;17/03/2024
2024;Marzo;18/03/2024 00:00;205.50722;12.94695486;0.29052;0.001413673;35.9637635;1.729857;0.0084175;0;0;0;0.0084175;0.046;0.016;0.056;0.660281685;0.1427;0.000694;0.000694379;34.9362274;1.306716;0.006358492;51.376805;0.550728;0.002679847;13.3579693;0.422465;0.002055719;0.431565162;0.038296;0.000186349;14.3855054;0.06642;0.0003232;0.022129159;Nuevo Horizonte;18/03/2024
2024;Marzo;19/03/2024 00:00;233.26462;14.69567106;0.043235;0.000185347;40.8213085;1.959423;0.008400001;0;0;0;0.008400001;0.0375;0.005;0.0525;0.611199299;0.1519;0.000651;0.000651192;39.6549854;1.442168;0.006182541;58.316155;0.784418;0.003362782;15.1622003;0.487171;0.002088491;0.489855702;0.011262;4.83E-05;16.3285234;0.143272;0.000614204;0.021532837;Nuevo Horizonte;19/03/2024
