FECHA,PLANTACION,PRECIPITACION_TOTAL
2019-03-20,Nuevo Horizonte,0.6
2019-03-20,Palmawasi,35.5
2019-03-21,Nuevo Horizonte,0.0
2019-03-21,Palmawasi,376.5
2019-03-22,Nuevo Horizonte,0.0
2019-03-22,Palmawasi,195.3
2019-03-23,Nuevo Horizonte,0.4
2019-03-23,Palmawasi,69.89999999999999
2019-03-24,Nuevo Horizonte,62.3
2019-03-24,Palmawasi,24.0
2019-03-25,Nuevo Horizonte,0.0
2019-03-25,Palmawasi,23.0
2019-03-26,Nuevo Horizonte,0.0
2019-03-26,Palmawasi,232.10000000000002
2019-03-27,Nuevo Horizonte,48.0
2019-03-27,Palmawasi,393.1
2019-03-28,Nuevo Horizonte,15.0
2019-03-28,Palmawasi,223.1
2019-03-29,Nuevo Horizonte,5.2
2019-03-29,Palmawasi,51.6
2019-03-30,Nuevo Horizonte,0.0
2019-03-30,Palmawasi,0.0
2019-03-31,Nuevo Horizonte,0.0
2019-03-31,Palmawasi,0.2
2019-04-01,Nuevo Horizonte,0.0
2019-04-01,Palmawasi,0.2
2019-04-02,Nuevo Horizonte,0.0
2019-04-02,Palmawasi,0.2
2019-04-03,Nuevo Horizonte,0.0
2019-04-03,Palmawasi,35.4
2019-04-04,Nuevo Horizonte,0.0
2019-04-04,Palmawasi,226.3
2019-04-05,Nuevo Horizonte,4.0
2019-04-05,Palmawasi,11.9
2019-04-06,Nuevo Horizonte,0.0
2019-04-06,Palmawasi,698.0
2019-04-07,Nuevo Horizonte,4.5
2019-04-07,Palmawasi,378.3
2019-04-08,Nuevo Horizonte,0.0
2019-04-08,Palmawasi,25.799999999999997
2019-04-09,Nuevo Horizonte,0.0
2019-04-09,Palmawasi,0.0
2019-04-10,Nuevo Horizonte,0.0
2019-04-10,Palmawasi,0.0
2019-04-11,Nuevo Horizonte,0.0
2019-04-11,Palmawasi,0.0
2019-04-12,Nuevo Horizonte,0.0
2019-04-12,Palmawasi,46.4
2019-04-13,Nuevo Horizonte,0.0
2019-04-13,Palmawasi,16.2
2019-04-14,Nuevo Horizonte,0.0
2019-04-14,Palmawasi,0.0
2019-04-15,Nuevo Horizonte,0.0
2019-04-15,Palmawasi,11.3
2019-04-16,Nuevo Horizonte,10.5
2019-04-16,Palmawasi,23.1
2019-04-17,Nuevo Horizonte,1.2
2019-04-17,Palmawasi,1.0
2019-04-18,Nuevo Horizonte,0.0
2019-04-18,Palmawasi,0.0
2019-04-19,Nuevo Horizonte,1.2
2019-04-19,Palmawasi,155.2
2019-04-20,Nuevo Horizonte,0.8
2019-04-20,Palmawasi,28.7
2019-04-21,Nuevo Horizonte,0.0
2019-04-21,Palmawasi,0.0
2019-04-22,Nuevo Horizonte,5.2
2019-04-22,Palmawasi,27.799999999999997
2019-04-23,Nuevo Horizonte,0.0
2019-04-23,Palmawasi,53.6
2019-04-24,Nuevo Horizonte,5.8
2019-04-24,Palmawasi,394.4
2019-04-25,Nuevo Horizonte,3.6
2019-04-25,Palmawasi,2.7
2019-04-26,Nuevo Horizonte,0.0
2019-04-26,Palmawasi,0.0
2019-04-27,Nuevo Horizonte,0.0
2019-04-27,Palmawasi,16.4
2019-04-28,Nuevo Horizonte,2.0
2019-04-28,Palmawasi,71.6
2019-04-29,Nuevo Horizonte,0.0
2019-04-29,Palmawasi,12.0
2019-04-30,Nuevo Horizonte,0.0
2019-04-30,Palmawasi,0.0
2019-05-01,Nuevo Horizonte,9.8
2019-05-01,Palmawasi,66.5
2019-05-02,Nuevo Horizonte,0.6
2019-05-02,Palmawasi,4.3
2019-05-03,Nuevo Horizonte,0.0
2019-05-03,Palmawasi,8.8
2019-05-04,Nuevo Horizonte,0.0
2019-05-04,Palmawasi,0.0
2019-05-05,Nuevo Horizonte,32.0
2019-05-05,Palmawasi,33.2
2019-05-06,Nuevo Horizonte,0.0
2019-05-06,Palmawasi,167.2
2019-05-07,Nuevo Horizonte,0.0
2019-05-07,Palmawasi,3.1999999999999997
2019-05-08,Nuevo Horizonte,25.0
2019-05-08,Palmawasi,26.4
2019-05-09,Nuevo Horizonte,10.5
2019-05-09,Palmawasi,175.9
2019-05-10,Nuevo Horizonte,0.0
2019-05-10,Palmawasi,8.7
2019-05-11,Nuevo Horizonte,0.0
2019-05-11,Palmawasi,17.3
2019-05-12,Nuevo Horizonte,0.0
2019-05-12,Palmawasi,3.8
2019-05-13,Nuevo Horizonte,40.6
2019-05-13,Palmawasi,575.5
2019-05-14,Nuevo Horizonte,18.0
2019-05-14,Palmawasi,139.16
2019-05-15,Nuevo Horizonte,5.4
2019-05-15,Palmawasi,98.9
2019-05-16,Nuevo Horizonte,0.0
2019-05-16,Palmawasi,3.8
2019-05-17,Nuevo Horizonte,0.0
2019-05-17,Palmawasi,9.899999999999999
2019-05-18,Nuevo Horizonte,0.0
2019-05-18,Palmawasi,0.0
2019-05-19,Nuevo Horizonte,0.0
2019-05-19,Palmawasi,0.0
2019-05-20,Nuevo Horizonte,0.0
2019-05-20,Palmawasi,76.0
2019-05-21,Nuevo Horizonte,0.0
2019-05-21,Palmawasi,16.1
2019-05-22,Nuevo Horizonte,0.0
2019-05-22,Palmawasi,0.0
2019-05-23,Nuevo Horizonte,4.8
2019-05-23,Palmawasi,240.7
2019-05-24,Nuevo Horizonte,0.0
2019-05-24,Palmawasi,41.4
2019-05-25,Nuevo Horizonte,11.0
2019-05-25,Palmawasi,86.89999999999999
2019-05-26,Nuevo Horizonte,0.0
2019-05-26,Palmawasi,6.3999999999999995
2019-05-27,Nuevo Horizonte,0.0
2019-05-27,Palmawasi,0.0
2019-05-28,Nuevo Horizonte,45.0
2019-05-28,Palmawasi,36.8
2019-05-29,Nuevo Horizonte,0.0
2019-05-29,Palmawasi,1.2
2019-05-30,Nuevo Horizonte,0.0
2019-05-30,Palmawasi,0.0
2019-05-31,Nuevo Horizonte,0.0
2019-05-31,Palmawasi,0.0
2019-06-01,Nuevo Horizonte,0.0
2019-06-01,Palmawasi,3.0
2019-06-02,Nuevo Horizonte,0.0
2019-06-02,Palmawasi,169.10000000000002
2019-06-03,Nuevo Horizonte,20.8
2019-06-03,Palmawasi,284.8
2019-06-04,Nuevo Horizonte,10.8
2019-06-04,Palmawasi,84.2
2019-06-05,Nuevo Horizonte,0.0
2019-06-05,Palmawasi,14.8
2019-06-06,Nuevo Horizonte,0.0
2019-06-06,Palmawasi,9.8
2019-06-07,Nuevo Horizonte,0.0
2019-06-07,Palmawasi,0.0
2019-06-08,Nuevo Horizonte,0.0
2019-06-08,Palmawasi,0.0
2019-06-09,Nuevo Horizonte,3.5
2019-06-09,Palmawasi,26.6
2019-06-10,Nuevo Horizonte,0.0
2019-06-10,Palmawasi,1.6
2019-06-11,Nuevo Horizonte,0.0
2019-06-11,Palmawasi,4.2
2019-06-12,Nuevo Horizonte,7.6
2019-06-12,Palmawasi,0.5
2019-06-13,Nuevo Horizonte,0.0
2019-06-13,Palmawasi,16.5
2019-06-14,Nuevo Horizonte,0.0
2019-06-14,Palmawasi,17.1
2019-06-15,Nuevo Horizonte,3.4
2019-06-15,Palmawasi,35.5
2019-06-16,Nuevo Horizonte,22.9
2019-06-16,Palmawasi,199.70000000000002
2019-06-17,Nuevo Horizonte,45.2
2019-06-17,Palmawasi,143.29999999999998
2019-06-18,Nuevo Horizonte,0.0
2019-06-18,Palmawasi,0.1
2019-06-19,Nuevo Horizonte,0.0
2019-06-19,Palmawasi,0.0
2019-06-20,Nuevo Horizonte,0.0
2019-06-20,Palmawasi,0.0
2019-06-21,Nuevo Horizonte,0.0
2019-06-21,Palmawasi,0.2
2019-06-22,Nuevo Horizonte,0.0
2019-06-22,Palmawasi,0.0
2019-06-23,Nuevo Horizonte,0.0
2019-06-23,Palmawasi,0.0
2019-06-24,Nuevo Horizonte,0.0
2019-06-24,Palmawasi,0.0
2019-06-25,Nuevo Horizonte,0.0
2019-06-25,Palmawasi,0.4
2019-06-26,Nuevo Horizonte,0.0
2019-06-26,Palmawasi,0.0
2019-06-27,Nuevo Horizonte,0.1
2019-06-27,Palmawasi,50.1
2019-06-28,Nuevo Horizonte,2.5
2019-06-28,Palmawasi,286.09999999999997
2019-06-29,Nuevo Horizonte,0.8
2019-06-29,Palmawasi,13.5
2019-06-30,Nuevo Horizonte,0.0
2019-06-30,Palmawasi,1.3
2019-07-01,Nuevo Horizonte,0.0
