FECHA,PLANTACION,TIPO_PERDIDA,COSECHA TM,PERDIDA TM
2021-04-06 00:00:00,Palmawasi,Cosecha puesto,2367.0,11.31
2021-04-07 00:00:00,Palmawasi,Cosecha puesto,1316.0,25.32
2021-04-08 00:00:00,Palmawasi,Cosecha puesto,2154.0,43.44
2021-04-09 00:00:00,Palmawasi,Cosecha puesto,1498.0,23.200000000000003
2021-04-10 00:00:00,Nuevo Horizonte,Cosecha puesto,128.0,0.28
2021-04-10 00:00:00,Palmawasi,Cosecha puesto,260.0,3.32
2021-04-12 00:00:00,Palmawasi,Cosecha puesto,1858.0,16.24
2021-04-13 00:00:00,Palmawasi,Cosecha puesto,1280.0,72.03
2021-04-14 00:00:00,Palmawasi,Cosecha puesto,1120.0,17.46
2021-04-15 00:00:00,Palmawasi,Cosecha puesto,1524.0,31.580000000000002
2021-04-16 00:00:00,Palmawasi,Cosecha puesto,1474.0,8.2
2021-04-17 00:00:00,Palmawasi,Cosecha puesto,411.0,4.67
2021-04-19 00:00:00,Palmawasi,Cosecha puesto,596.0,15.92
2021-04-20 00:00:00,Palmawasi,Cosecha puesto,2286.0,25.85
2021-04-21 00:00:00,Palmawasi,Cosecha puesto,1546.0,3.12
2021-04-22 00:00:00,Palmawasi,Cosecha puesto,1430.0,13.66
2021-04-23 00:00:00,Palmawasi,Cosecha puesto,1994.0,8.26
2021-04-24 00:00:00,Palmawasi,Cosecha puesto,1430.0,25.98
2021-04-26 00:00:00,Palmawasi,Cosecha puesto,1108.0,9.64
2021-04-27 00:00:00,Palmawasi,Cosecha puesto,756.0,2.2800000000000002
2021-04-28 00:00:00,Palmawasi,Cosecha puesto,1550.0,16.12
2021-04-29 00:00:00,Palmawasi,Cosecha puesto,1157.0,8.1
2021-05-03 00:00:00,Palmawasi,Cosecha puesto,3067.0,12.120000000000001
2021-05-04 00:00:00,Palmawasi,Cosecha puesto,1357.0,25.009999999999998
2021-05-05 00:00:00,Palmawasi,Cosecha puesto,1416.0,3.7199999999999998
2021-05-06 00:00:00,Palmawasi,Cosecha puesto,1448.0,14.06
2021-05-07 00:00:00,Nuevo Horizonte,Cosecha puesto,76.0,0.04
2021-05-07 00:00:00,Palmawasi,Cosecha puesto,3212.0,59.31
2021-05-08 00:00:00,Palmawasi,Cosecha puesto,452.0,0.36
2021-05-11 00:00:00,Palmawasi,Cosecha puesto,1140.0,3.2800000000000002
2021-05-13 00:00:00,Palmawasi,Cosecha puesto,1164.0,2.2199999999999998
2021-05-14 00:00:00,Palmawasi,Cosecha puesto,1294.0,9.76
2021-05-15 00:00:00,Palmawasi,Cosecha puesto,2014.0,11.36
2021-05-17 00:00:00,Palmawasi,Cosecha puesto,1133.0,10.5
2021-05-18 00:00:00,Palmawasi,Cosecha puesto,1030.0,7.569999999999999
2021-05-19 00:00:00,Palmawasi,Cosecha puesto,1555.0,3.28
2021-05-20 00:00:00,Palmawasi,Cosecha puesto,1396.0,14.809999999999999
2021-05-21 00:00:00,Palmawasi,Cosecha puesto,2074.0,9.84
2021-05-22 00:00:00,Palmawasi,Cosecha puesto,1328.0,14.32
2021-05-24 00:00:00,Nuevo Horizonte,Cosecha puesto,54.0,0.02
2021-05-24 00:00:00,Palmawasi,Cosecha puesto,1376.0,12.92
2021-05-25 00:00:00,Palmawasi,Cosecha puesto,1468.0,2.44
2021-05-27 00:00:00,Palmawasi,Cosecha puesto,0.0,0.0
2021-05-29 00:00:00,Palmawasi,Cosecha puesto,1091.0,21.4
2021-05-31 00:00:00,Palmawasi,Cosecha puesto,1574.0,2.48
2021-06-01 00:00:00,Nuevo Horizonte,Cosecha puesto,42.0,0.04
