PTANIO,PTNOMBREMES,"Date(PTDIA, 'DD/MM/YYYY')",PROPIOS,TERCEROS,TOTAL,PARTICIPACION CP,PLANTACION,FECHA
2024,Febrero,2024-02-18 00:00:00,0.0,19.8,19.8,1.0,Nuevo Horizonte,2024-02-18
2024,Febrero,2024-02-19 00:00:00,0.0,168.44,168.44,1.0,Nuevo Horizonte,2024-02-19
2024,Febrero,2024-02-20 00:00:00,59.68,211.37,271.05,0.7798192215458403,Nuevo Horizonte,2024-02-20
2024,Febrero,2024-02-21 00:00:00,196.77,5.13,201.9,0.02540861812778603,Nuevo Horizonte,2024-02-21
2024,Febrero,2024-02-22 00:00:00,190.54,9.96,200.5,0.04967581047381546,Nuevo Horizonte,2024-02-22
2024,Febrero,2024-02-23 00:00:00,79.96000000000001,109.68,189.64,0.5783589959924067,Nuevo Horizonte,2024-02-23
2024,Febrero,2024-02-24 00:00:00,61.67,141.46,203.13,0.696401319352139,Nuevo Horizonte,2024-02-24
2024,Febrero,2024-02-25 00:00:00,0.0,17.82,17.82,1.0,Nuevo Horizonte,2024-02-25
2024,Febrero,2024-02-26 00:00:00,0.0,72.18,72.18,1.0,Nuevo Horizonte,2024-02-26
2024,Febrero,2024-02-27 00:00:00,70.84,200.36,271.2,0.7387905604719764,Nuevo Horizonte,2024-02-27
2024,Febrero,2024-02-28 00:00:00,0.0,179.74,179.74,1.0,Nuevo Horizonte,2024-02-28
2024,Febrero,2024-02-29 00:00:00,60.7,193.44,254.14,0.7611552687495081,Nuevo Horizonte,2024-02-29
2024,Marzo,2024-03-01 00:00:00,11.72,201.88,213.6,0.945131086142322,Nuevo Horizonte,2024-03-01
2024,Marzo,2024-03-02 00:00:00,75.75,138.39,214.14,0.6462594564303726,Nuevo Horizonte,2024-03-02
2024,Marzo,2024-03-03 00:00:00,0.0,19.22,19.22,1.0,Nuevo Horizonte,2024-03-03
2024,Marzo,2024-03-04 00:00:00,28.8,197.26,226.06,0.8726001946385915,Nuevo Horizonte,2024-03-04
2024,Marzo,2024-03-05 00:00:00,42.53,249.95,292.48,0.8545883479212253,Nuevo Horizonte,2024-03-05
2024,Marzo,2024-03-06 00:00:00,58.6,163.46,222.06,0.7361073583716112,Nuevo Horizonte,2024-03-06
2024,Marzo,2024-03-07 00:00:00,0.0,243.53,243.53,1.0,Nuevo Horizonte,2024-03-07
2024,Marzo,2024-03-08 00:00:00,71.69,213.7,285.39,0.7487998878727354,Nuevo Horizonte,2024-03-08
2024,Marzo,2024-03-09 00:00:00,25.14,201.93,227.07,0.8892852424362532,Nuevo Horizonte,2024-03-09
2024,Marzo,2024-03-10 00:00:00,0.0,26.42,26.42,1.0,Nuevo Horizonte,2024-03-10
2024,Marzo,2024-03-11 00:00:00,31.21,136.24,167.45,0.8136160047775456,Nuevo Horizonte,2024-03-11
2024,Marzo,2024-03-12 00:00:00,40.45,202.77,243.22,0.8336896636789738,Nuevo Horizonte,2024-03-12
2024,Marzo,2024-03-13 00:00:00,0.0,136.17,136.17,1.0,Nuevo Horizonte,2024-03-13
2024,Marzo,2024-03-14 00:00:00,68.47,176.23,244.7,0.7201879852881079,Nuevo Horizonte,2024-03-14
2024,Marzo,2024-03-15 00:00:00,0.0,197.05,197.05,1.0,Nuevo Horizonte,2024-03-15
2024,Marzo,2024-03-16 00:00:00,73.46000000000001,108.09,181.55,0.5953731754337648,Nuevo Horizonte,2024-03-16
2024,Marzo,2024-03-17 00:00:00,0.0,47.03,47.03,1.0,Nuevo Horizonte,2024-03-17
2024,Marzo,2024-03-18 00:00:00,28.61,142.2,170.81,0.8325039517592647,Nuevo Horizonte,2024-03-18
2024,Marzo,2024-03-19 00:00:00,43.4,207.45,250.85,0.8269882399840542,Nuevo Horizonte,2024-03-19
2024,Marzo,2024-03-20 00:00:00,30.35,203.48,233.83,0.8702048496771159,Nuevo Horizonte,2024-03-20
2024,Marzo,2024-03-21 00:00:00,39.59,169.18,208.77,0.8103654739665661,Nuevo Horizonte,2024-03-21
2024,Marzo,2024-03-22 00:00:00,29.34,109.44,138.78,0.788586251621271,Nuevo Horizonte,2024-03-22
2024,Marzo,2024-03-23 00:00:00,11.04,131.23,142.27,0.9224010683910874,Nuevo Horizonte,2024-03-23
2024,Marzo,2024-03-24 00:00:00,0.0,30.43,30.43,1.0,Nuevo Horizonte,2024-03-24
2024,Marzo,2024-03-25 00:00:00,0.0,144.35,144.35,1.0,Nuevo Horizonte,2024-03-25
2024,Marzo,2024-03-26 00:00:00,29.06,205.03,234.09,0.8758597120765518,Nuevo Horizonte,2024-03-26
2024,Marzo,2024-03-27 00:00:00,17.68,182.57,200.25,0.9117103620474407,Nuevo Horizonte,2024-03-27
2024,Marzo,2024-03-28 00:00:00,46.85,154.47,201.32,0.7672859129743691,Nuevo Horizonte,2024-03-28
2024,Marzo,2024-03-29 00:00:00,19.23,111.63,130.86,0.8530490600641909,Nuevo Horizonte,2024-03-29
2024,Marzo,2024-03-30 00:00:00,21.99,114.4,136.39,0.838771170906958,Nuevo Horizonte,2024-03-30
2024,Marzo,2024-03-31 00:00:00,0.0,30.16,30.16,1.0,Nuevo Horizonte,2024-03-31
2024,Abril,2024-04-01 00:00:00,10.74,159.52,170.26,0.9369200046986961,Nuevo Horizonte,2024-04-01
2024,Abril,2024-04-02 00:00:00,53.36,208.44,261.8,0.7961802902979374,Nuevo Horizonte,2024-04-02
2024,Abril,2024-04-03 00:00:00,19.65,194.57,214.22,0.9082718700401456,Nuevo Horizonte,2024-04-03
2024,Abril,2024-04-04 00:00:00,29.56,172.16,201.72,0.8534602419194923,Nuevo Horizonte,2024-04-04
2024,Abril,2024-04-05 00:00:00,20.94,154.97,175.91,0.8809618554942868,Nuevo Horizonte,2024-04-05
2024,Abril,2024-04-06 00:00:00,21.55,155.56,177.11,0.8783242052961436,Nuevo Horizonte,2024-04-06
2024,Abril,2024-04-07 00:00:00,0.0,52.08,52.08,1.0,Nuevo Horizonte,2024-04-07
2024,Abril,2024-04-08 00:00:00,15.13,100.69,115.82,0.8693662579865308,Nuevo Horizonte,2024-04-08
2024,Abril,2024-04-09 00:00:00,38.97,154.58,193.55,0.7986566778610179,Nuevo Horizonte,2024-04-09
2024,Abril,2024-04-10 00:00:00,0.0,122.45,122.45,1.0,Nuevo Horizonte,2024-04-10
2024,Abril,2024-04-11 00:00:00,68.52,157.88,226.4,0.6973498233215548,Nuevo Horizonte,2024-04-11
2024,Abril,2024-04-12 00:00:00,0.0,155.0,155.0,1.0,Nuevo Horizonte,2024-04-12
2024,Abril,2024-04-13 00:00:00,63.07,88.27,151.34,0.5832562442183162,Nuevo Horizonte,2024-04-13
2024,Abril,2024-04-14 00:00:00,0.0,39.75,39.75,1.0,Nuevo Horizonte,2024-04-14
2024,Abril,2024-04-15 00:00:00,0.0,194.97,194.97,1.0,Nuevo Horizonte,2024-04-15
2024,Abril,2024-04-16 00:00:00,39.96,200.72,240.68,0.8339704171514044,Nuevo Horizonte,2024-04-16
2024,Abril,2024-04-17 00:00:00,0.0,149.31,149.31,1.0,Nuevo Horizonte,2024-04-17
2024,Abril,2024-04-18 00:00:00,27.59,156.74,184.33,0.8503227906472088,Nuevo Horizonte,2024-04-18
2024,Abril,2024-04-19 00:00:00,34.67,145.3,179.97,0.8073567816858366,Nuevo Horizonte,2024-04-19
2024,Abril,2024-04-20 00:00:00,55.24,118.1,173.34,0.6813199492327218,Nuevo Horizonte,2024-04-20
2024,Abril,2024-04-21 00:00:00,0.0,22.98,22.98,1.0,Nuevo Horizonte,2024-04-21
2024,Abril,2024-04-22 00:00:00,0.0,118.32,118.32,1.0,Nuevo Horizonte,2024-04-22
2024,Abril,2024-04-23 00:00:00,23.8,179.16,202.96,0.8827355143870713,Nuevo Horizonte,2024-04-23
2024,Abril,2024-04-24 00:00:00,0.0,205.51,205.51,1.0,Nuevo Horizonte,2024-04-24
2024,Abril,2024-04-25 00:00:00,0.0,146.97,146.97,1.0,Nuevo Horizonte,2024-04-25
2024,Abril,2024-04-26 00:00:00,47.57,132.38,179.95,0.7356487913309253,Nuevo Horizonte,2024-04-26
2024,Abril,2024-04-27 00:00:00,37.23,123.02,160.25,0.7676755070202808,Nuevo Horizonte,2024-04-27
2024,Abril,2024-04-28 00:00:00,0.0,40.1,40.1,1.0,Nuevo Horizonte,2024-04-28
2024,Abril,2024-04-29 00:00:00,0.0,194.45,194.45,1.0,Nuevo Horizonte,2024-04-29
2024,Abril,2024-04-30 00:00:00,37.47,186.85,224.32,0.8329618402282454,Nuevo Horizonte,2024-04-30
2024,Mayo,2024-05-01 00:00:00,0.0,91.52,91.52,1.0,Nuevo Horizonte,2024-05-01
2024,Mayo,2024-05-02 00:00:00,0.0,132.77,132.77,1.0,Nuevo Horizonte,2024-05-02
2024,Mayo,2024-05-03 00:00:00,19.6,127.41,147.01,0.8666757363444665,Nuevo Horizonte,2024-05-03
2024,Mayo,2024-05-04 00:00:00,42.63,120.5,163.13,0.7386746766382639,Nuevo Horizonte,2024-05-04
2024,Mayo,2024-05-05 00:00:00,0.0,7.87,7.87,1.0,Nuevo Horizonte,2024-05-05
2024,Mayo,2024-05-06 00:00:00,0.0,124.93,124.93,1.0,Nuevo Horizonte,2024-05-06
2024,Mayo,2024-05-07 00:00:00,0.0,237.85,237.85,1.0,Nuevo Horizonte,2024-05-07
2024,Mayo,2024-05-08 00:00:00,35.82,152.45,188.27,0.8097413289424762,Nuevo Horizonte,2024-05-08
2024,Mayo,2024-05-09 00:00:00,0.0,182.09,182.09,1.0,Nuevo Horizonte,2024-05-09
2024,Mayo,2024-05-10 00:00:00,71.13,95.2,166.33,0.572356159442073,Nuevo Horizonte,2024-05-10
2024,Mayo,2024-05-11 00:00:00,35.03,130.13,165.16,0.7879026398643739,Nuevo Horizonte,2024-05-11
2024,Mayo,2024-05-12 00:00:00,0.0,24.8,24.8,1.0,Nuevo Horizonte,2024-05-12
2024,Mayo,2024-05-13 00:00:00,0.0,126.6,126.6,1.0,Nuevo Horizonte,2024-05-13
2024,Mayo,2024-05-14 00:00:00,0.0,184.54,184.54,1.0,Nuevo Horizonte,2024-05-14
2024,Mayo,2024-05-15 00:00:00,40.03,186.38,226.41,0.8231968552625767,Nuevo Horizonte,2024-05-15
2024,Mayo,2024-05-16 00:00:00,0.0,192.46,192.46,1.0,Nuevo Horizonte,2024-05-16
2024,Mayo,2024-05-17 00:00:00,48.81,180.28,229.09,0.7869396307128202,Nuevo Horizonte,2024-05-17
2024,Mayo,2024-05-18 00:00:00,41.58,102.28,143.86,0.710968997636591,Nuevo Horizonte,2024-05-18
2024,Mayo,2024-05-19 00:00:00,0.0,26.64,26.64,1.0,Nuevo Horizonte,2024-05-19
2024,Mayo,2024-05-20 00:00:00,30.38,122.36,152.74,0.8010999083409716,Nuevo Horizonte,2024-05-20
2024,Mayo,2024-05-21 00:00:00,0.0,193.58,193.58,1.0,Nuevo Horizonte,2024-05-21
2024,Mayo,2024-05-22 00:00:00,58.39,168.15,226.54,0.7422530237485654,Nuevo Horizonte,2024-05-22
2024,Mayo,2024-05-23 00:00:00,0.0,159.13,159.13,1.0,Nuevo Horizonte,2024-05-23
2024,Mayo,2024-05-24 00:00:00,21.29,143.14,164.43,0.8705224107522959,Nuevo Horizonte,2024-05-24
2024,Mayo,2024-05-25 00:00:00,26.63,108.45,135.08,0.8028575658868818,Nuevo Horizonte,2024-05-25
2024,Mayo,2024-05-26 00:00:00,0.0,2.56,2.56,1.0,Nuevo Horizonte,2024-05-26
2024,Mayo,2024-05-27 00:00:00,26.45,171.08,197.53,0.8660962891712651,Nuevo Horizonte,2024-05-27
2024,Mayo,2024-05-28 00:00:00,0.0,217.99,217.99,1.0,Nuevo Horizonte,2024-05-28
2024,Mayo,2024-05-29 00:00:00,95.03,182.54,277.57,0.6576359116619231,Nuevo Horizonte,2024-05-29
2024,Mayo,2024-05-30 00:00:00,55.74,149.15,204.89,0.7279515837766607,Nuevo Horizonte,2024-05-30
2024,Mayo,2024-05-31 00:00:00,97.5,192.5,290.0,0.663793103448276,Nuevo Horizonte,2024-05-31
2024,Junio,2024-06-01 00:00:00,55.31,113.69,169.0,0.6727218934911242,Nuevo Horizonte,2024-06-01
2024,Junio,2024-06-02 00:00:00,0.0,23.95,23.95,1.0,Nuevo Horizonte,2024-06-02
2024,Junio,2024-06-03 00:00:00,0.0,143.42,143.42,1.0,Nuevo Horizonte,2024-06-03
2024,Junio,2024-06-04 00:00:00,26.67,143.0,169.67,0.8428125184181058,Nuevo Horizonte,2024-06-04
2024,Junio,2024-06-05 00:00:00,35.16,223.85,259.01,0.8642523454692869,Nuevo Horizonte,2024-06-05
2024,Junio,2024-06-06 00:00:00,0.0,192.98,192.98,1.0,Nuevo Horizonte,2024-06-06
2024,Junio,2024-06-07 00:00:00,40.64,97.99000000000001,138.63,0.7068455601240713,Nuevo Horizonte,2024-06-07
2024,Junio,2024-06-08 00:00:00,0.0,116.65,116.65,1.0,Nuevo Horizonte,2024-06-08
2024,Junio,2024-06-09 00:00:00,0.0,46.16,46.16,1.0,Nuevo Horizonte,2024-06-09
2024,Junio,2024-06-10 00:00:00,0.0,196.48,196.48,1.0,Nuevo Horizonte,2024-06-10
2024,Junio,2024-06-11 00:00:00,0.0,215.6,215.6,1.0,Nuevo Horizonte,2024-06-11
2024,Junio,2024-06-12 00:00:00,42.74,153.46,196.2,0.7821610601427115,Nuevo Horizonte,2024-06-12
2024,Junio,2024-06-13 00:00:00,27.89,194.39,222.28,0.8745276228180673,Nuevo Horizonte,2024-06-13
